graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,61,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,2.5,4.5
0,62,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,7.5,1.5
0,63,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,22.5,4.5
0,64,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,17.5,1.5
0,65,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,7.5,1.5
0,66,0,True,False,False,1.0,0.0,0.0,0.0,0.0,22.5,22.5,1.5
0,67,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,7.5,4.5
0,68,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,12.5,1.5
0,69,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,12.5,4.5
0,70,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,32.5,4.5
0,71,0,True,False,False,1.0,0.0,0.0,0.0,0.0,2.5,17.5,4.5
0,72,0,True,False,False,1.0,0.0,0.0,0.0,0.0,2.5,7.5,1.5
0,73,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,22.5,1.5
0,74,0,True,False,False,0.0,0.0,0.0,1.0,0.0,42.0,10.5,33.0
0,75,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,2.5,4.5
0,76,0,True,False,False,1.0,0.0,0.0,0.0,0.0,27.5,2.5,4.5
0,77,0,True,False,False,1.0,0.0,0.0,0.0,0.0,7.5,12.5,1.5
0,78,0,True,False,False,0.0,0.0,0.0,1.0,0.0,11.0,7.5,27.0
0,79,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,22.5,1.5
0,80,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,-2.5,4.5
0,81,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,2.5,1.5
0,82,0,True,False,False,1.0,0.0,0.0,0.0,0.0,17.5,27.5,4.5
0,83,0,True,False,False,0.0,1.0,0.0,0.0,0.0,9.5,12.5,9.0
0,84,0,True,False,False,1.0,0.0,0.0,0.0,0.0,32.5,27.5,1.5
0,85,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.5,29.0,33.0
0,86,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,27.5,1.5
0,87,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.5,17.5,4.5
0,88,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.5,27.0,15.0
0,89,0,True,False,False,0.0,0.0,0.0,1.0,0.0,12.5,19.0,27.0
0,90,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,17.5,4.5
0,91,0,True,False,False,1.0,0.0,0.0,0.0,0.0,27.5,12.5,1.5
0,92,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,27.5,1.5
0,93,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,17.5,1.5
0,94,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.5,32.5,1.5
0,95,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.5,-2.5,4.5
0,96,0,True,False,False,0.0,1.0,0.0,0.0,0.0,32.5,25.5,9.0
0,97,0,True,False,False,1.0,0.0,0.0,0.0,0.0,22.5,2.5,4.5
0,98,0,True,False,False,0.0,0.0,0.0,1.0,0.0,39.0,7.5,27.0
0,99,0,True,False,False,1.0,0.0,0.0,0.0,0.0,42.5,7.5,1.5
0,100,0,True,False,False,1.0,0.0,0.0,0.0,0.0,22.5,32.5,4.5
0,101,0,True,False,False,0.0,0.0,0.0,1.0,0.0,9.5,4.0,33.0
0,102,0,True,False,False,1.0,0.0,0.0,0.0,0.0,37.5,22.5,4.5
0,103,0,True,False,False,0.0,0.0,0.0,1.0,0.0,37.5,19.0,15.0
0,104,0,True,False,False,1.0,0.0,0.0,0.0,0.0,7.5,2.5,4.5
0,105,0,True,False,False,1.0,0.0,0.0,0.0,0.0,12.5,2.5,1.5
0,106,0,True,False,False,0.0,0.0,0.0,1.0,0.0,8.0,10.5,33.0
0,107,0,True,False,False,0.0,0.0,0.0,1.0,0.0,34.0,27.5,33.0
0,108,0,True,False,False,1.0,0.0,0.0,0.0,0.0,47.5,12.5,1.5
0,109,0,True,False,False,0.0,0.0,0.0,1.0,0.0,42.0,10.5,21.0
